class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,9.79,x,t,n,f,a,d,w,9.17,29.65,,,w,,,f,f,,d,a
p,3.55,x,t,n,f,s,c,n,5.62,9.25,,,w,,n,t,z,,d,a
p,3.18,f,w,o,t,d,c,y,2.75,5.12,,,n,,,f,f,,d,a
e,10.66,x,d,w,f,s,c,w,8.49,33.24,,,w,,,f,f,,d,s
e,7.74,f,s,w,f,s,c,w,5.88,29.8,,,w,,,f,f,,d,u
p,3.72,x,i,e,f,,,e,4.36,4.99,,,e,,,f,f,n,d,a
p,3.02,b,w,y,f,a,,y,4.98,6.94,,t,r,,,f,f,,m,u
e,7.08,f,,p,f,x,c,w,8.18,17.5,,s,w,,,f,f,,d,u
p,3.01,b,y,n,f,,c,w,6.23,4.64,s,s,w,,,f,f,,d,a
e,10.18,x,h,n,f,p,d,y,8.22,13.61,,s,n,,,f,f,,d,a
p,9.56,p,,n,f,p,,p,8.66,28.66,c,,n,,,f,f,w,d,a
p,19.47,s,d,n,f,d,c,y,5.65,37.51,,k,n,,,f,f,,d,a
p,2.11,f,i,k,f,a,,p,4.43,2.53,,,w,,,f,f,p,g,u
e,5.24,o,,n,f,f,f,f,5.2,20.71,,,n,,,f,f,,d,s
p,2.34,b,,g,f,a,,g,5.13,2.06,,s,g,,,f,f,,d,u
p,1.68,o,k,n,f,,,n,5.51,1.62,,,n,,,f,f,,d,s
p,18.36,s,k,w,t,d,d,n,6.3,26.99,,,w,,,f,f,,d,w
e,10.96,f,,n,t,,,w,12.01,22.12,b,,w,u,w,t,g,,d,u
e,4.11,f,y,g,f,s,,y,4.03,6.03,,,w,,,f,f,,d,u
e,14.82,f,y,w,f,,,w,22.89,18.51,s,,n,,,t,m,,d,a
p,7.19,x,y,w,t,,,g,8.22,14.38,s,,w,,,t,l,,g,u
p,6.15,x,s,n,f,s,,g,5.36,7.33,,y,n,,,f,f,,d,a
p,11.72,f,t,n,t,d,c,n,6.21,17.17,,,n,,,f,f,,d,a
p,4.52,s,,e,t,d,c,b,4.83,5.18,,,e,,,f,f,,d,a
e,15.13,f,y,w,f,,,w,23.77,19.82,s,,n,,,t,m,,d,a
p,7.23,x,s,n,t,s,d,w,5.65,16.19,r,y,w,,,f,f,,d,u
e,1.36,c,g,n,f,a,,g,5.23,1.55,,,g,,,f,f,,d,u
p,5.1,f,d,n,f,d,c,y,5.29,6.01,,i,n,,,t,,,d,u
e,8.74,x,d,y,t,p,,y,6.7,12.9,,,e,,,f,f,,d,a
p,3.6,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
e,7.3,x,,g,t,p,,g,12.45,26.34,,y,w,,,f,f,,d,u
p,2.52,s,w,o,t,d,c,n,3.63,6.15,,,n,,,f,f,,d,a
p,4.94,x,h,r,f,s,c,n,6.64,8.11,,y,l,,,t,e,k,g,u
p,16.97,x,k,w,t,d,d,n,7.46,28.86,,,w,,,f,f,,d,w
e,7.11,f,d,w,f,s,c,w,7.78,30.05,,,w,,,f,f,,m,s
e,7.28,x,y,n,f,e,c,p,6.37,11.19,,y,n,,,f,f,,d,u
e,5.66,x,h,n,f,x,c,n,5.89,6.36,,s,n,,,t,r,,d,s
e,4.99,x,,l,f,a,,r,6.08,8.09,,,w,,,f,f,,l,u
p,3.47,x,y,n,f,a,,w,5.01,3.29,,y,y,,,t,r,,d,a
e,3.98,x,,y,f,a,c,y,4.63,9.51,,,w,,,f,f,,d,u
p,4.61,c,e,y,t,x,c,y,7.08,12.25,,,w,,,f,f,,g,a
e,6.02,x,,y,f,a,c,w,5.47,15.27,,,g,,,f,f,,d,u
e,8.53,s,,l,f,s,c,u,7.32,18.98,,,u,,,f,f,,l,a
p,2.48,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,8.97,f,h,r,f,,c,w,11.15,16.95,,,w,u,w,t,g,,d,u
p,5.82,o,k,n,f,,c,y,1.4,12.93,,,y,,,f,f,,d,w
p,6.35,b,y,g,f,,,g,10.15,12.29,,s,w,,,t,z,,d,s
e,1.93,s,y,n,f,a,d,p,6.34,3.3,,i,n,,,f,f,,l,a
p,1.19,f,s,y,f,f,f,f,3.02,4.74,,,y,,,f,f,,d,u
e,1.46,x,g,n,f,d,,w,5.42,1.98,,t,y,,,f,f,,d,u
p,7.61,f,,y,f,x,c,n,6.28,11.55,,,w,,,f,f,,d,a
e,3.04,b,y,n,f,,c,k,7.18,3.46,,,w,,,f,f,,d,a
p,7.49,s,d,n,t,d,c,w,6.12,8.92,,,e,,,f,f,,d,u
e,9.86,f,,n,f,s,c,b,6.46,19.77,,,b,,,f,f,,l,a
p,10.85,x,e,o,f,a,,o,12.16,23.48,r,,o,,,t,r,n,d,u
p,4.78,o,,w,f,f,f,f,5.75,33.4,,g,w,,,t,f,,d,u
p,9.16,o,,n,f,f,f,f,3.22,24.5,,g,n,,,f,f,,d,u
p,6.58,f,d,n,t,d,c,w,5.48,8.41,,,n,,,f,f,,d,u
p,18.64,f,k,w,t,d,d,w,7.61,29.8,,,w,,,f,f,,d,u
p,1.39,x,g,n,f,d,d,n,2.28,2.4,,s,n,,,f,f,,d,u
e,16.48,p,s,w,t,e,,g,13.0,18.76,s,,w,,,t,r,,m,a
p,7.32,x,i,n,f,a,,n,8.89,12.24,s,,n,,e,f,f,,d,a
p,4.75,b,h,r,f,s,c,u,5.63,8.16,,y,n,,,t,e,u,d,u
e,7.07,b,h,g,f,s,d,g,5.88,10.33,,s,g,,,f,f,,d,a
e,10.86,f,e,b,f,,c,b,4.88,19.49,,,w,,,t,f,,d,a
p,12.49,f,,n,f,e,,w,10.86,14.53,,,w,u,w,t,e,,d,u
p,1.25,f,s,y,f,f,f,f,3.25,5.24,,,y,,,f,f,,d,u
e,7.22,x,,e,f,x,c,w,8.42,23.67,,s,w,,,f,f,,d,u
p,4.4,b,t,l,f,s,c,u,5.64,7.14,,y,n,,,t,e,k,g,u
p,6.2,f,d,n,f,a,c,n,5.79,6.45,,i,n,,,t,,,d,u
p,2.41,b,,g,f,a,,g,4.98,2.19,,s,n,,,f,f,,d,u
p,1.64,p,t,n,f,a,c,g,6.78,2.48,,t,y,,,t,e,,m,u
p,6.82,x,s,n,f,s,,n,4.75,6.78,,y,n,,,f,f,,d,w
p,3.39,x,t,n,f,s,c,p,5.25,7.51,,,w,,n,t,z,,d,u
p,3.17,s,w,n,t,d,c,y,3.28,5.38,,,n,,,f,f,,d,a
p,3.77,b,t,n,f,x,c,p,5.97,4.32,,i,n,,,f,f,,m,a
e,9.07,x,y,n,f,,,w,6.31,24.31,b,,n,,w,t,e,,d,w
p,14.8,x,g,o,f,e,,w,17.94,17.42,s,y,w,u,w,t,g,,d,w
e,8.61,f,,g,f,d,c,w,2.57,16.06,,,w,,,f,f,,d,a
p,2.7,b,s,y,f,,c,y,6.55,6.75,,,y,u,w,t,z,r,d,u
e,1.14,f,g,n,t,a,,w,5.54,1.07,,,n,,,f,f,,d,a
p,3.42,b,t,n,f,x,c,p,5.52,3.74,,i,g,,,f,f,,g,a
p,9.03,x,h,r,f,,c,w,11.36,15.62,,,w,u,w,t,p,,d,a
p,7.94,x,i,n,f,a,c,n,7.17,7.09,,i,n,,k,t,z,k,d,u
p,3.77,s,w,u,f,a,c,u,5.62,5.48,,s,u,,,f,f,,d,u
p,9.96,x,,n,t,x,,n,9.24,21.29,s,,u,,u,f,f,,d,a
e,14.12,x,e,n,t,e,,w,8.99,15.72,,,w,,,t,,,d,u
e,13.71,x,e,l,f,x,c,w,7.47,21.37,,,w,,,f,f,,d,u
e,11.27,x,s,n,t,p,,n,7.84,17.99,,,n,,w,t,p,,d,u
p,2.58,s,s,w,f,d,c,w,2.69,7.74,,,w,,,f,f,,g,a
p,6.29,c,i,y,f,,c,n,6.98,7.64,,,w,,,f,f,,d,a
p,4.64,x,,y,f,s,d,y,4.59,12.88,,i,y,,,f,f,,d,a
p,3.52,x,h,o,f,a,c,n,4.01,5.94,,y,n,,,t,z,,d,w
p,8.92,o,,e,f,f,f,f,3.37,24.1,,g,n,,,f,f,,d,s
p,4.19,s,k,n,f,p,,n,2.97,6.13,,k,n,,,t,f,,d,u
e,9.07,x,,g,f,a,,w,8.0,14.09,,,w,,,f,f,,d,a
p,7.09,f,d,n,f,a,c,n,5.59,6.55,,i,n,,,t,,,d,a
p,9.57,x,,g,t,x,,u,9.74,21.49,s,,n,,u,f,f,,d,a
p,2.12,p,t,n,f,a,c,g,6.94,2.5,,t,y,,,t,e,,m,a
p,1.77,x,k,n,f,,,n,4.73,1.57,,,n,,,f,f,,d,s
p,14.63,x,e,n,t,p,,o,8.99,33.44,c,,y,,,f,f,,d,u
e,9.91,x,e,y,f,x,c,w,7.62,18.0,,,w,,,f,f,,d,u
e,5.12,o,l,n,f,f,f,f,7.55,48.79,,,n,,,f,f,g,d,w
e,6.94,p,s,w,f,e,c,n,5.39,12.99,,,w,,w,t,e,,g,a
e,10.15,x,s,n,t,p,,n,8.25,18.66,,,n,,w,t,p,,d,u
e,4.22,x,k,n,f,p,,y,3.93,10.4,,,y,,,f,f,,d,a
e,9.3,s,,n,f,s,c,b,6.9,21.59,,,u,,,f,f,,d,a
p,5.35,c,e,w,t,x,c,p,6.86,13.57,,,w,,,f,f,,d,a
p,3.24,b,t,n,f,,,k,8.5,5.04,,,w,,,t,,k,g,u
e,10.96,f,,w,f,d,c,y,2.3,13.8,,,w,,,f,f,,d,a
p,6.87,x,s,g,t,s,d,w,5.08,14.1,r,y,n,,,f,f,,d,a
e,3.94,s,,y,f,f,f,f,6.73,8.62,,,y,,,f,f,,d,a
e,6.27,f,,y,f,a,c,w,6.55,14.48,,,w,,,f,f,,d,u
p,4.49,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w
e,3.18,f,d,u,t,d,c,p,4.58,5.23,,,g,,,f,f,,d,a
e,5.11,f,t,o,f,a,d,w,7.81,7.23,,k,n,,,f,f,,d,a
p,12.94,o,,n,f,f,f,f,4.24,25.86,,g,n,,,f,f,,d,u
p,5.66,p,y,n,f,,,k,8.4,11.9,,s,w,,,t,z,,d,w
e,2.39,x,,u,f,,d,w,6.13,3.76,,,w,,,f,f,,d,w
e,21.33,x,t,n,f,p,,y,15.49,69.72,,,n,,,f,f,,d,a
p,6.62,f,d,e,t,d,c,y,6.86,9.11,,,n,,,f,f,,d,a
p,0.75,x,g,e,f,a,,n,3.7,0.92,,h,k,,,f,f,,d,w
e,10.82,f,s,n,t,e,,n,8.43,16.3,s,,w,,,t,l,,m,u
e,7.66,x,y,n,f,e,c,p,5.47,9.72,,y,n,,,f,f,,d,u
p,0.98,b,t,y,f,,c,g,2.7,2.34,,,n,,,t,f,,m,u
p,4.75,x,t,o,f,a,c,y,5.89,6.24,,g,o,,,f,f,,g,a
p,6.41,x,e,e,f,a,,n,8.13,10.97,,,y,,w,t,z,,d,a
p,2.68,s,d,w,f,d,d,p,3.27,2.63,,h,w,,,f,f,,g,a
e,4.01,x,t,n,f,d,,o,6.08,7.6,,t,o,,,f,f,,d,a
p,2.57,f,t,r,f,a,,r,4.91,6.58,,t,r,,,f,f,,d,a
e,1.5,f,y,n,f,d,d,p,4.61,3.29,,i,n,,,f,f,,l,a
p,8.46,f,h,r,f,,c,w,11.16,16.34,,,w,u,w,t,p,,d,a
e,12.09,f,,n,t,,,w,11.15,15.99,b,,w,u,w,t,g,,d,a
p,7.48,b,t,w,f,e,c,w,12.6,12.91,,y,w,u,w,t,l,,d,a
p,7.65,x,g,n,f,e,,w,7.81,13.96,,y,w,u,w,t,p,,d,a
e,4.7,x,,l,f,d,,r,5.3,8.42,,,r,,,f,f,,d,a
e,3.41,x,k,n,f,p,,n,5.46,10.91,,,y,,,f,f,,d,a
p,9.67,x,y,y,f,a,c,y,14.41,14.22,,y,n,,,t,,,d,u
p,15.01,s,t,n,t,d,c,n,5.15,27.29,,,r,,,f,f,,d,u
e,53.13,o,y,y,f,p,,y,7.23,49.94,,k,k,,,f,f,,d,s
p,10.23,x,e,y,t,p,,e,8.29,25.38,,,u,,,f,f,,d,u
e,6.17,x,s,n,f,x,c,w,7.09,10.75,,s,n,,,f,f,,l,a
p,2.27,b,g,n,f,,c,n,6.6,2.96,,,n,,,f,f,,g,u
e,3.13,o,l,n,f,f,f,f,5.97,41.11,,,n,,,f,f,g,d,a
p,3.43,f,d,b,f,x,c,y,4.21,2.75,b,i,n,,,f,f,,l,u
e,4.27,x,k,n,f,p,,y,5.19,10.92,,,y,,,f,f,,d,a
e,9.18,x,s,n,f,e,c,w,7.01,10.39,,i,w,,,f,f,p,d,u
p,4.02,f,t,n,f,x,c,p,5.42,3.72,,i,g,,,f,f,,d,a
e,1.41,x,,u,f,,d,u,6.31,4.19,,,w,,,f,f,,d,u
p,6.64,f,h,e,f,x,d,w,5.24,17.24,b,,w,,,f,f,,d,a
e,6.84,x,,n,t,p,,g,12.67,25.82,,y,w,,,f,f,,d,a
p,7.36,x,s,n,f,s,,g,6.03,8.75,,y,n,,,f,f,,d,a
e,8.9,f,s,w,f,e,c,p,19.68,12.72,,s,w,,,t,e,,g,u
e,8.72,x,,n,f,a,,w,6.74,13.29,,,w,,,f,f,,d,a
e,4.02,x,d,o,f,a,c,o,4.79,6.37,,,e,,,f,f,,g,u
p,2.0,b,,n,f,a,,g,4.79,2.1,,s,n,,,f,f,,d,u
e,2.6,x,,y,f,a,c,o,4.19,8.55,,,w,,,f,f,,d,u
p,2.01,b,,g,f,a,,g,5.62,2.27,,s,n,,,f,f,,d,u
p,3.33,f,t,p,f,a,,r,4.8,6.51,,t,y,,,f,f,,d,u
e,9.3,s,,w,t,d,c,y,4.69,21.86,,,w,,,f,f,,d,u
p,16.82,x,g,n,f,p,,y,5.72,37.18,,,n,,,f,f,,d,w
p,1.05,x,g,w,f,a,d,w,2.92,1.43,,,n,,,f,f,,l,a
p,5.41,f,d,n,f,a,c,y,5.14,6.23,,i,y,,,t,,,d,a
p,4.71,o,,w,f,f,f,f,6.16,32.31,,g,w,,,t,f,,p,u
p,6.06,s,k,n,f,p,,n,3.69,4.29,,k,n,,,t,f,,d,u
p,7.15,s,t,y,f,x,c,y,6.42,17.69,,,y,,,f,f,,d,a
e,9.39,s,t,o,t,d,c,o,6.06,17.54,,,w,,,f,f,,d,u
p,11.11,x,y,y,f,a,,o,12.89,24.48,r,,o,,,t,r,n,d,w
p,2.0,p,t,n,f,a,c,n,6.74,2.6,,t,y,,,t,e,,m,a
p,1.42,p,t,n,f,a,c,n,6.81,2.47,,t,y,,,t,e,,m,a
p,2.86,o,,k,f,f,f,f,3.29,15.31,,g,n,,,f,f,,d,a
e,7.06,x,h,n,f,a,d,n,6.21,4.37,,t,w,,,t,l,,d,a
e,0.63,b,g,g,f,,,g,2.4,1.38,,,w,,,f,f,,d,s
e,8.85,f,e,b,f,,c,b,4.62,17.76,,,w,,,t,f,,d,a
e,6.73,x,h,n,f,p,d,y,8.29,13.77,,s,n,,,f,f,,h,a
p,2.69,o,,g,f,f,f,f,2.59,14.28,,g,n,,,f,f,,d,a
p,3.14,x,d,w,f,a,d,w,3.55,2.63,,h,w,,,f,f,,g,u
p,7.2,x,i,n,f,a,c,k,9.19,8.78,,i,n,,k,t,z,k,d,u
p,9.24,f,h,r,f,,c,w,10.9,13.77,,,w,u,w,t,p,,d,a
p,5.0,x,t,r,f,s,c,g,7.08,9.75,,y,l,,,t,e,u,m,a
p,2.87,f,s,w,f,d,c,w,3.28,7.4,,,w,,,f,f,,g,a
e,0.53,p,g,w,f,,,g,2.6,1.08,,,w,,,f,f,,d,w
e,13.59,x,y,n,t,e,,w,9.46,16.25,,,w,,,t,,,d,a
p,6.98,x,d,e,t,d,c,n,7.63,9.04,,,n,,,f,f,,d,a
e,3.63,f,s,w,f,d,d,w,3.44,5.26,,,w,,,f,f,,m,w
p,4.53,f,k,y,f,p,,n,3.28,5.1,,k,n,,,t,f,,d,u
p,1.53,x,,n,f,,,n,5.21,2.65,,s,n,,,f,f,k,g,a
p,12.83,f,,g,f,e,,w,10.73,14.75,,,w,u,w,t,e,,d,u
p,5.35,x,,y,f,s,d,y,5.36,11.35,,i,y,,,f,f,,d,a
p,2.54,f,w,u,f,a,c,u,5.49,5.72,,s,u,,,f,f,,d,a
p,3.47,x,t,n,f,s,c,p,5.5,8.32,,,w,,n,t,z,,d,u
p,3.12,x,t,n,f,s,c,p,4.6,5.67,,,w,,n,t,z,,d,u
e,6.35,p,,g,f,f,f,f,6.59,22.63,,,n,,,f,f,,l,s
p,4.76,x,t,o,f,a,c,y,5.52,6.68,,g,o,,,f,f,,g,a
p,3.01,o,,w,f,f,f,f,5.3,29.47,,g,w,,,t,f,,p,a
p,13.0,x,,n,f,e,,w,10.83,14.03,,,w,u,w,t,e,,d,a
e,6.43,c,t,n,f,e,,w,13.43,14.57,,s,n,u,w,f,f,,d,a
p,7.57,x,i,n,f,a,c,k,8.18,9.34,,i,n,,k,t,z,k,d,u
e,7.96,x,,n,f,a,,w,6.96,14.25,,,g,,,f,f,,d,a
e,6.89,f,y,n,f,e,c,n,4.07,11.95,,,w,,,t,l,,w,u
p,10.67,x,e,n,t,p,,o,9.5,36.47,,,u,,,f,f,,d,a
e,4.76,f,g,g,f,a,d,g,7.42,4.55,,s,g,,,f,f,,d,u
p,6.32,x,t,n,f,s,,n,6.08,7.4,,y,n,,,f,f,,d,w
e,8.7,s,,n,f,,,w,3.84,19.34,,,n,,,f,f,,d,u
e,11.65,s,,g,f,s,c,b,8.17,19.17,,,b,,,f,f,,l,a
p,4.14,b,s,y,f,,c,k,7.79,6.9,,,y,u,w,t,z,k,d,u
e,0.97,b,g,w,f,,,g,2.81,1.54,,,w,,,f,f,,d,u
e,11.38,f,e,b,f,,c,b,4.64,17.49,,,w,,,t,f,,d,a
p,12.56,x,,g,f,e,,w,10.73,14.98,,,w,u,w,t,e,,d,u
p,4.35,s,,u,f,a,,w,3.48,6.88,,,y,,,f,f,,d,u
p,1.48,o,k,n,f,,,n,4.1,1.57,,,n,,,f,f,,d,w
e,5.39,f,h,o,f,a,d,y,7.75,5.68,,k,o,,,f,f,,d,a
e,5.89,x,,n,f,x,c,n,8.19,10.05,b,,w,,w,t,,,d,u
e,8.57,f,e,b,f,,c,b,5.15,20.43,,,w,,,t,f,,d,a
p,2.82,x,i,e,f,,,e,3.94,4.7,,,e,,,f,f,n,d,a
e,9.84,x,s,n,f,e,c,w,5.89,9.88,,i,w,,,f,f,p,d,a
p,2.45,f,t,y,f,,,y,7.99,3.25,,,y,,,f,f,,g,u
p,16.38,s,s,n,f,d,c,y,6.11,38.05,,k,n,,,f,f,,d,u
e,2.83,x,s,w,f,d,d,w,3.62,6.22,,,w,,,f,f,,g,w
e,7.86,x,s,n,f,e,c,p,7.1,9.72,,i,n,,,f,f,p,d,u
e,4.09,x,s,o,f,p,,n,5.32,8.92,,,n,,,f,f,,d,u
p,7.75,x,i,n,f,a,c,k,8.84,8.7,,i,n,,k,t,z,k,g,a
e,11.89,f,s,y,f,x,,n,7.15,20.85,,,p,,,f,f,,d,w
e,9.32,x,h,n,t,p,,n,8.17,17.63,,,n,,w,t,p,,d,a
e,4.3,x,s,o,f,p,,n,5.13,11.47,,,n,,,f,f,,d,a
p,3.77,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,a
e,3.34,b,g,g,f,a,d,g,4.59,3.29,,s,n,,,f,f,,d,u
e,6.59,s,,n,f,,,w,3.19,19.55,,,n,,,f,f,,d,a
p,6.78,x,,n,f,p,,p,9.71,30.11,c,,n,,,f,f,p,d,u
e,7.05,s,,n,f,,,w,4.78,23.27,,,n,,,f,f,,d,a
p,5.56,s,d,y,f,d,c,y,2.82,6.89,,,y,,,f,f,,d,a
p,2.34,b,,g,f,a,,g,5.31,2.25,,s,n,,,f,f,,d,u
e,6.96,x,h,n,f,p,d,y,7.43,12.5,,s,n,,,f,f,,g,u
p,4.02,f,d,n,f,x,c,w,5.05,3.34,b,i,n,,,f,f,,l,a
p,7.03,s,t,n,f,x,c,y,4.9,15.71,,,y,,,f,f,,d,a
p,10.98,x,s,n,t,p,,e,8.21,24.38,c,,y,,,f,f,,d,u
e,5.08,o,,n,f,f,f,f,5.37,19.46,,,n,,,f,f,,d,s
p,9.76,x,h,n,t,p,,e,7.85,26.43,c,,y,,,f,f,,d,u
e,1.51,c,g,n,f,a,,g,4.75,1.3,,,g,,,f,f,,l,a
p,0.83,x,,o,f,d,,o,4.6,1.09,,,o,,,f,f,w,g,a
e,9.8,x,,g,f,s,c,g,8.21,22.7,b,,u,,,f,f,,g,w
p,1.47,x,g,y,f,d,d,n,1.65,2.42,,s,n,,,f,f,,d,u
e,3.69,f,d,p,t,d,c,p,5.98,7.29,,,n,,,f,f,,d,a
p,7.28,s,t,y,f,x,c,y,5.77,17.89,,,y,,,f,f,,d,a
e,7.61,x,h,n,f,p,d,y,7.77,12.44,,s,n,,,f,f,,d,u
p,11.96,x,,n,f,e,,w,10.52,14.07,,,w,u,w,t,e,,d,u
p,8.3,x,i,n,f,a,c,k,9.21,8.53,,i,n,,k,t,z,k,d,u
p,2.44,x,g,e,f,a,,p,6.79,2.37,,,n,,,f,f,,d,u
e,8.23,f,y,w,f,e,c,w,15.25,12.1,,s,w,,,t,e,,u,a
p,6.95,f,y,y,f,s,c,y,6.55,19.99,,y,y,,,f,f,,d,a
e,3.33,s,,n,f,f,f,f,6.83,7.07,,,o,,,f,f,,d,a
p,10.45,x,e,y,t,p,,e,7.94,24.1,,,e,,,f,f,,d,u
p,13.25,f,,g,f,e,,w,11.22,13.44,,,w,u,w,t,e,,d,a
e,9.35,x,d,w,f,s,c,w,6.93,29.63,,,w,,,f,f,,d,s
e,5.85,x,h,n,f,e,,w,13.13,13.33,,s,w,u,w,f,f,,d,a
e,11.19,f,d,w,f,s,c,w,8.24,34.87,,,w,,,f,f,,m,u
p,0.69,x,g,p,f,a,,p,4.05,1.15,,s,k,,,f,f,,d,a
p,4.74,b,w,u,f,a,c,u,7.17,6.67,,s,u,,,f,f,,d,a
p,3.45,b,y,n,f,,c,w,5.99,4.57,s,s,w,,,f,f,,d,a
p,2.95,s,s,w,f,d,c,w,3.19,8.12,,,w,,,f,f,,g,u
e,1.52,x,,b,f,,d,w,5.17,4.03,,,w,,,f,f,,d,a
p,4.51,f,l,y,f,x,d,n,5.36,4.85,,,n,,,f,f,,l,a
p,7.43,x,t,n,f,s,,n,5.24,7.32,,y,n,,,f,f,,d,a
p,11.82,x,e,n,t,p,,o,8.1,27.35,c,,y,,,f,f,,d,u
p,4.22,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,6.33,f,,r,f,x,c,n,5.7,10.41,,,w,,,f,f,,d,u
p,2.8,f,w,n,t,d,c,y,3.91,5.75,,,n,,,f,f,,d,a
e,5.82,x,t,n,f,e,,w,11.69,11.53,,s,n,u,w,f,f,,d,u
e,6.21,f,h,n,f,a,d,y,8.32,6.08,,k,n,,,f,f,,d,s
p,8.49,s,,r,t,d,,o,4.41,11.19,,,w,,,t,f,,d,a
e,6.93,s,,n,f,d,c,w,5.63,8.6,,s,w,,,f,f,,h,u
p,5.35,f,,y,f,s,d,y,3.9,10.11,,i,y,,,f,f,,d,a
e,13.76,p,d,e,f,p,,w,16.7,35.39,s,y,w,,,f,f,,d,u
e,7.85,f,h,n,f,s,,y,9.05,13.77,,t,o,,,f,f,,d,a
p,9.99,x,h,g,f,s,,y,7.13,16.84,,i,n,,,f,f,,d,u
p,6.23,x,h,r,f,,c,w,10.83,15.03,,,w,u,w,t,g,,d,u
p,6.72,x,s,r,t,s,d,w,5.77,17.02,r,i,w,,,f,f,,d,u
p,1.27,b,h,n,f,a,,n,4.24,1.46,,t,n,,,f,f,,h,s
e,6.26,x,h,n,f,x,c,n,4.7,5.5,,s,n,,,t,r,,d,s
e,7.92,x,,g,f,a,,w,6.31,11.81,,,w,,,f,f,,d,a
e,10.36,o,,n,f,,,w,5.08,27.21,,,n,,,f,f,,d,u
p,9.43,f,s,n,f,d,c,y,6.52,31.34,,k,n,,,f,f,,d,u
e,5.91,x,h,n,f,a,d,n,5.07,3.94,,t,w,,,t,l,,d,a
p,15.56,f,g,o,f,e,,w,17.28,16.99,s,y,w,u,w,t,p,,d,u
p,9.42,o,e,n,f,,c,y,1.62,15.43,,,n,,,f,f,,d,w
p,8.82,x,h,r,f,,c,w,10.48,14.09,,,w,u,w,t,g,,d,u
e,6.58,x,y,n,f,e,c,w,5.92,10.44,,y,n,,,f,f,,d,a
e,4.53,s,l,n,f,f,f,f,7.47,64.8,,,n,,,f,f,g,d,u
e,3.71,x,,y,f,a,c,o,3.57,8.32,,,w,,,f,f,,d,u
e,7.05,x,y,n,f,e,c,p,5.11,10.23,,y,n,,,f,f,,d,u
p,5.71,f,l,n,f,x,d,n,7.59,6.33,,,n,,,f,f,,d,a
p,6.37,b,k,n,f,a,c,y,5.55,6.29,,i,n,,,t,,,d,a
p,4.76,x,,e,f,,c,r,3.73,12.14,,,y,,,f,f,,d,a
p,10.81,x,i,n,f,a,,n,10.95,15.57,s,,n,,e,f,f,,h,a
p,1.86,p,t,n,f,a,c,n,5.12,2.17,,t,y,,,t,e,,m,a
e,3.11,s,,n,f,f,f,f,4.9,5.84,,,y,,,f,f,,d,a
p,5.78,s,d,o,f,d,c,o,3.76,6.92,,,o,,,f,f,,d,u
p,9.56,x,i,n,f,a,,n,10.76,16.53,s,,n,,n,f,f,,d,a
p,6.8,f,d,n,t,d,c,y,5.07,8.33,,,n,,,f,f,,d,u
p,4.1,b,h,n,f,,,n,10.89,6.96,,,w,,,t,,k,g,w
p,12.95,f,,n,f,e,,w,10.92,14.22,,,w,u,w,t,g,,d,u
p,14.24,x,t,r,t,d,c,b,4.93,26.01,,,n,,,f,f,,g,a
e,10.1,f,e,b,f,,c,b,4.72,18.37,,,w,,,t,f,,d,a
e,10.54,s,e,n,f,a,c,w,6.93,20.83,s,,w,,,f,f,,l,a
p,0.81,x,g,e,f,a,,p,4.21,1.06,,s,k,,,f,f,,d,a
p,8.7,f,y,e,f,s,c,y,6.97,17.25,,y,y,,,f,f,,d,a
p,0.92,b,t,n,f,,c,g,3.21,2.16,,,n,,,t,f,,g,a
e,0.81,x,g,n,t,a,,p,5.1,0.82,,,n,,,f,f,,h,a
e,9.95,x,,n,t,,,w,10.43,15.47,b,,w,u,w,t,g,,d,u
p,3.56,x,t,n,f,s,c,p,5.51,11.1,,,w,,n,t,z,,d,u
p,3.65,b,s,y,f,,c,r,8.86,8.12,,,y,u,w,t,z,r,d,w
e,8.48,f,g,o,f,s,,y,9.6,12.58,,t,n,,,f,f,,d,a
e,9.73,x,h,n,t,p,,y,8.7,17.76,,,n,,w,t,p,,d,u
e,6.71,f,d,w,f,s,c,w,5.72,28.58,,,w,,,f,f,,m,u
p,4.83,f,l,y,f,x,d,y,5.79,5.13,,,n,,,f,f,,l,a
e,3.97,f,t,n,f,d,,o,6.41,8.48,,t,w,,,f,f,,d,a
e,9.15,x,e,l,f,x,c,w,8.45,19.95,,,w,,,f,f,,d,u
p,3.43,b,w,u,f,a,c,u,5.47,5.92,,s,u,,,f,f,,d,u
p,16.91,f,k,w,t,d,d,w,6.28,26.11,,,w,,,f,f,,d,w
p,6.96,f,d,n,f,d,c,y,6.0,7.29,,i,n,,,t,,,d,a
p,4.97,s,k,n,f,p,,n,3.52,4.79,,k,n,,,t,f,,d,u
e,6.41,c,t,n,f,e,,w,12.74,12.86,,s,n,u,w,f,f,,d,a
